method,fraction,condition,ews,mean_tau,mean_nonseq,mean_seq,mean_lead,n_nets
smallcv,0.1,DW $D$ asc,Vrel,0.6083,0.6,0.625,0.4178,40
smallcv,0.1,DW $D$ asc,CVrel,0.5789,0.2,0.275,0.5008,40
smallcv,0.2,DW $D$ asc,V,0.7376,0.8,0.725,0.337,40
smallcv,0.2,DW $D$ asc,CV,0.7107,0.6,0.575,0.2192,40
smallcv,0.2,DW $D$ asc,Vdelta,0.7224,0.7,0.65,0.3875,40
smallcv,0.2,DW $D$ asc,Vrel,0.7231,0.7,0.675,0.3981,40
smallcv,0.2,DW $D$ asc,CVrel,0.6947,0.4,0.45,0.4525,40
smallcv,0.3,DW $D$ asc,V,0.7801,0.85,0.85,0.4005,40
smallcv,0.3,DW $D$ asc,CV,0.756,0.675,0.675,0.2806,40
smallcv,0.3,DW $D$ asc,Vdelta,0.7621,0.8,0.825,0.3735,40
smallcv,0.3,DW $D$ asc,Vrel,0.763,0.8,0.8,0.3411,40
smallcv,0.3,DW $D$ asc,CVrel,0.7378,0.525,0.525,0.3609,40
smallcv,0.4,DW $D$ asc,V,0.8201,0.9,0.9,0.3771,40
smallcv,0.4,DW $D$ asc,CV,0.7971,0.775,0.75,0.277,40
smallcv,0.4,DW $D$ asc,Vdelta,0.8034,0.875,0.85,0.3569,40
smallcv,0.4,DW $D$ asc,Vrel,0.8046,0.875,0.85,0.3556,40
smallcv,0.4,DW $D$ asc,CVrel,0.7785,0.625,0.625,0.2982,40
smallcv,0.5,DW $D$ asc,V,0.8409,0.9,0.875,0.3704,40
smallcv,0.5,DW $D$ asc,CV,0.8152,0.775,0.75,0.269,40
smallcv,0.5,DW $D$ asc,Vdelta,0.8232,0.875,0.85,0.3493,40
smallcv,0.5,DW $D$ asc,Vrel,0.8242,0.875,0.825,0.3107,40
smallcv,0.5,DW $D$ asc,CVrel,0.7966,0.625,0.675,0.1876,40
smallcv,0.6,DW $D$ asc,V,0.8632,0.95,0.95,0.366,40
smallcv,0.6,DW $D$ asc,CV,0.8393,0.9,0.825,0.2867,40
smallcv,0.6,DW $D$ asc,Vdelta,0.8498,0.95,0.95,0.4009,40
smallcv,0.6,DW $D$ asc,Vrel,0.8507,0.95,0.95,0.4003,40
smallcv,0.6,DW $D$ asc,CVrel,0.8255,0.7,0.8,0.3191,40
smallcv,0.7,DW $D$ asc,V,0.8767,0.95,0.95,0.4261,40
smallcv,0.7,DW $D$ asc,CV,0.8546,0.925,0.825,0.3429,40
smallcv,0.7,DW $D$ asc,Vdelta,0.8635,0.95,0.95,0.4394,40
smallcv,0.7,DW $D$ asc,Vrel,0.8647,0.95,0.95,0.4375,40
smallcv,0.7,DW $D$ asc,CVrel,0.8398,0.75,0.825,0.276,40
smallcv,0.8,DW $D$ asc,V,0.8842,0.95,0.95,0.4182,40
smallcv,0.8,DW $D$ asc,CV,0.8612,0.925,0.875,0.3398,40
smallcv,0.8,DW $D$ asc,Vdelta,0.8706,0.95,0.925,0.4462,40
smallcv,0.8,DW $D$ asc,Vrel,0.8719,0.95,0.95,0.4351,40
smallcv,0.8,DW $D$ asc,CVrel,0.8475,0.775,0.8,0.3234,40
smallcv,0.9,DW $D$ asc,V,0.8907,0.95,0.95,0.4504,40
smallcv,0.9,DW $D$ asc,CV,0.8671,0.925,0.925,0.3771,40
smallcv,0.9,DW $D$ asc,Vdelta,0.8786,0.95,0.95,0.4269,40
smallcv,0.9,DW $D$ asc,Vrel,0.8799,0.95,0.95,0.4395,40
smallcv,0.9,DW $D$ asc,CVrel,0.8544,0.9,0.9,0.3166,40
smallcv,1.0,DW $D$ asc,V,0.8857,1.0,1.0,0.4716,40
smallcv,1.0,DW $D$ asc,CV,0.8589,0.975,0.975,0.4193,40
smallcv,1.0,DW $D$ asc,Vdelta,0.8851,0.95,0.95,0.4207,40
smallcv,1.0,DW $D$ asc,Vrel,0.8859,0.95,0.95,0.4178,40
smallcv,1.0,DW $D$ asc,CVrel,0.8611,0.925,0.925,0.3146,40
largecv,0.05,DW $D$ asc,V,0.4062,0.35,0.375,0.3143,40
largecv,0.05,DW $D$ asc,CV,0.3754,0.2,0.275,0.2607,40
largecv,0.05,DW $D$ asc,Vdelta,0.4022,0.325,0.375,0.3387,40
largecv,0.05,DW $D$ asc,Vrel,0.4028,0.325,0.375,0.3348,40
largecv,0.05,DW $D$ asc,CVrel,0.3709,0.225,0.25,0.2001,40
largecv,0.1,DW $D$ asc,V,0.559,0.55,0.55,0.3421,40
largecv,0.1,DW $D$ asc,CV,0.5243,0.325,0.375,0.2421,40
largecv,0.1,DW $D$ asc,Vdelta,0.5532,0.525,0.5,0.3062,40
largecv,0.1,DW $D$ asc,Vrel,0.5546,0.525,0.5,0.3062,40
largecv,0.1,DW $D$ asc,CVrel,0.5192,0.45,0.45,0.1838,40
largecv,0.2,DW $D$ asc,V,0.6569,0.6,0.625,0.2575,40
largecv,0.2,DW $D$ asc,CV,0.6224,0.425,0.5,0.2437,40
largecv,0.2,DW $D$ asc,Vdelta,0.658,0.75,0.775,0.2911,40
largecv,0.2,DW $D$ asc,Vrel,0.6596,0.75,0.775,0.2956,40
largecv,0.2,DW $D$ asc,CVrel,0.6228,0.6,0.575,0.2259,40
largecv,0.3,DW $D$ asc,V,0.6976,0.675,0.725,0.3396,40
largecv,0.3,DW $D$ asc,CV,0.6631,0.475,0.5,0.27,40
largecv,0.3,DW $D$ asc,Vdelta,0.7141,0.85,0.85,0.3783,40
largecv,0.3,DW $D$ asc,Vrel,0.717,0.85,0.85,0.3746,40
largecv,0.3,DW $D$ asc,CVrel,0.6803,0.625,0.625,0.2636,40
largecv,0.4,DW $D$ asc,V,0.7489,0.875,0.9,0.3767,40
largecv,0.4,DW $D$ asc,CV,0.7184,0.65,0.675,0.2761,40
largecv,0.4,DW $D$ asc,Vdelta,0.77,0.95,0.875,0.4831,40
largecv,0.4,DW $D$ asc,Vrel,0.7725,0.95,0.875,0.4892,40
largecv,0.4,DW $D$ asc,CVrel,0.7398,0.875,0.825,0.3432,40
largecv,0.5,DW $D$ asc,V,0.7811,0.925,0.925,0.3691,40
largecv,0.5,DW $D$ asc,CV,0.7507,0.675,0.7,0.3137,40
largecv,0.5,DW $D$ asc,Vdelta,0.8193,0.975,0.95,0.4359,40
largecv,0.5,DW $D$ asc,Vrel,0.8215,0.975,0.95,0.4356,40
largecv,0.5,DW $D$ asc,CVrel,0.7915,0.925,0.925,0.3624,40
largecv,0.6,DW $D$ asc,V,0.8021,0.925,0.925,0.4065,40
largecv,0.6,DW $D$ asc,CV,0.7694,0.725,0.725,0.375,40
largecv,0.6,DW $D$ asc,Vdelta,0.8464,1.0,0.975,0.4338,40
largecv,0.6,DW $D$ asc,Vrel,0.848,1.0,0.975,0.4288,40
largecv,0.6,DW $D$ asc,CVrel,0.8192,0.95,0.95,0.3512,40
largecv,0.7,DW $D$ asc,V,0.8217,0.95,0.95,0.4321,40
largecv,0.7,DW $D$ asc,CV,0.7905,0.875,0.875,0.3602,40
largecv,0.7,DW $D$ asc,Vdelta,0.8594,0.95,0.925,0.4437,40
largecv,0.7,DW $D$ asc,Vrel,0.8608,0.95,0.925,0.4399,40
largecv,0.7,DW $D$ asc,CVrel,0.8323,0.925,0.9,0.3637,40
largecv,0.8,DW $D$ asc,V,0.8413,0.95,0.95,0.4473,40
largecv,0.8,DW $D$ asc,CV,0.8124,0.925,0.925,0.3724,40
largecv,0.8,DW $D$ asc,Vdelta,0.8697,0.95,0.925,0.4611,40
largecv,0.8,DW $D$ asc,Vrel,0.8706,0.95,0.925,0.4592,40
largecv,0.8,DW $D$ asc,CVrel,0.8444,0.9,0.9,0.3769,40
largecv,0.9,DW $D$ asc,V,0.863,0.95,0.95,0.4926,40
largecv,0.9,DW $D$ asc,CV,0.8352,0.925,0.925,0.4061,40
largecv,0.9,DW $D$ asc,Vdelta,0.8788,0.95,0.95,0.4297,40
largecv,0.9,DW $D$ asc,Vrel,0.8797,0.95,0.95,0.4357,40
largecv,0.9,DW $D$ asc,CVrel,0.8567,0.925,0.925,0.3359,40
largecv,1.0,DW $D$ asc,V,0.8857,1.0,1.0,0.4716,40
largecv,1.0,DW $D$ asc,CV,0.8589,0.975,0.975,0.4193,40
largecv,1.0,DW $D$ asc,Vdelta,0.8851,0.95,0.95,0.4207,40
largecv,1.0,DW $D$ asc,Vrel,0.8859,0.95,0.95,0.4178,40
largecv,1.0,DW $D$ asc,CVrel,0.8611,0.925,0.925,0.3146,40
random,0.05,DW $D$ desc,V,-0.8391,0.025,0.025,0.0705,40
random,0.05,DW $D$ desc,CV,-0.6998,0.035,0.035,0.3243,40
random,0.05,DW $D$ desc,Vdelta,0.843,0.86,0.925,0.6431,40
random,0.05,DW $D$ desc,Vrel,0.7237,0.65,0.795,0.5174,40
random,0.05,DW $D$ desc,CVrel,0.7558,0.585,0.54,0.394,40
random,0.1,DW $D$ desc,V,-0.8878,0.025,0.025,0.1023,40
random,0.1,DW $D$ desc,CV,-0.7716,0.025,0.025,0.0682,40
random,0.1,DW $D$ desc,Vdelta,0.9147,0.985,0.99,0.6771,40
random,0.1,DW $D$ desc,Vrel,0.802,0.76,0.825,0.5299,40
random,0.1,DW $D$ desc,CVrel,0.827,0.66,0.64,0.4392,40
random,0.2,DW $D$ desc,V,-0.9125,0.025,0.025,0.1477,40
random,0.2,DW $D$ desc,CV,-0.8291,0.025,0.025,0.1841,40
random,0.2,DW $D$ desc,Vdelta,0.9487,0.985,0.99,0.7311,40
random,0.2,DW $D$ desc,Vrel,0.8698,0.875,0.94,0.5532,40
random,0.2,DW $D$ desc,CVrel,0.8929,0.755,0.77,0.4437,40
random,0.3,DW $D$ desc,V,-0.9241,0.025,0.025,0.175,40
random,0.3,DW $D$ desc,CV,-0.8571,0.025,0.025,0.1682,40
random,0.3,DW $D$ desc,Vdelta,0.9602,1.0,1.0,0.7433,40
random,0.3,DW $D$ desc,Vrel,0.8977,0.905,0.955,0.5869,40
random,0.3,DW $D$ desc,CVrel,0.9129,0.815,0.85,0.4993,40
random,0.4,DW $D$ desc,V,-0.932,0.025,0.025,0.1932,40
random,0.4,DW $D$ desc,CV,-0.8617,0.025,0.025,0.1727,40
random,0.4,DW $D$ desc,Vdelta,0.9677,1.0,1.0,0.7543,40
random,0.4,DW $D$ desc,Vrel,0.9146,0.95,0.98,0.6039,40
random,0.4,DW $D$ desc,CVrel,0.925,0.845,0.835,0.4765,40
random,0.5,DW $D$ desc,V,-0.9343,0.025,0.025,0.1523,40
random,0.5,DW $D$ desc,CV,-0.8703,0.025,0.025,0.2295,40
random,0.5,DW $D$ desc,Vdelta,0.9706,1.0,1.0,0.7576,40
random,0.5,DW $D$ desc,Vrel,0.9232,0.945,1.0,0.6119,40
random,0.5,DW $D$ desc,CVrel,0.9345,0.855,0.89,0.4921,40
random,0.6,DW $D$ desc,V,-0.9355,0.025,0.025,0.2023,40
random,0.6,DW $D$ desc,CV,-0.8792,0.025,0.025,0.2477,40
random,0.6,DW $D$ desc,Vdelta,0.9737,1.0,1.0,0.7615,40
random,0.6,DW $D$ desc,Vrel,0.9286,0.965,0.985,0.6272,40
random,0.6,DW $D$ desc,CVrel,0.9395,0.895,0.875,0.5312,40
random,0.7,DW $D$ desc,V,-0.9367,0.025,0.025,0.2409,40
random,0.7,DW $D$ desc,CV,-0.8834,0.025,0.025,0.2477,40
random,0.7,DW $D$ desc,Vdelta,0.9765,1.0,1.0,0.7633,40
random,0.7,DW $D$ desc,Vrel,0.9351,0.985,1.0,0.6301,40
random,0.7,DW $D$ desc,CVrel,0.9466,0.91,0.94,0.5197,40
random,0.8,DW $D$ desc,V,-0.9385,0.025,0.025,0.225,40
random,0.8,DW $D$ desc,CV,-0.8859,0.025,0.025,0.2477,40
random,0.8,DW $D$ desc,Vdelta,0.9778,1.0,1.0,0.7676,40
random,0.8,DW $D$ desc,Vrel,0.9393,0.98,1.0,0.6455,40
random,0.8,DW $D$ desc,CVrel,0.9509,0.92,0.935,0.5449,40
random,0.9,DW $D$ desc,V,-0.9393,0.025,0.025,0.2409,40
random,0.9,DW $D$ desc,CV,-0.8885,0.025,0.025,0.2591,40
random,0.9,DW $D$ desc,Vdelta,0.9794,1.0,1.0,0.7665,40
random,0.9,DW $D$ desc,Vrel,0.944,0.98,1.0,0.644,40
random,0.9,DW $D$ desc,CVrel,0.9541,0.925,0.945,0.563,40
random,1.0,DW $D$ desc,V,-0.94,0.025,0.025,0.25,40
random,1.0,DW $D$ desc,CV,-0.8915,0.025,0.025,0.2727,40
random,1.0,DW $D$ desc,Vdelta,0.9803,1.0,1.0,0.7669,40
random,1.0,DW $D$ desc,Vrel,0.9462,1.0,1.0,0.6456,40
random,1.0,DW $D$ desc,CVrel,0.9567,0.925,0.95,0.5691,40
largeb,0.05,DW $D$ desc,V,-0.8262,0.025,0.025,0.0795,40
largeb,0.05,DW $D$ desc,CV,-0.7269,0.05,0.025,0.0795,40
largeb,0.05,DW $D$ desc,Vdelta,0.8456,0.95,0.925,0.6422,40
largeb,0.05,DW $D$ desc,Vrel,0.7213,0.85,0.85,0.5248,40
largeb,0.05,DW $D$ desc,CVrel,0.7525,0.875,0.75,0.4109,40
largeb,0.1,DW $D$ desc,V,-0.8595,0.05,0.05,0.0676,40
largeb,0.1,DW $D$ desc,CV,-0.7837,0.05,0.05,0.0729,40
largeb,0.1,DW $D$ desc,Vdelta,0.9018,1.0,1.0,0.6552,40
largeb,0.1,DW $D$ desc,Vrel,0.8147,0.925,0.975,0.505,40
largeb,0.1,DW $D$ desc,CVrel,0.8386,0.9,0.9,0.4373,40
largeb,0.2,DW $D$ desc,V,-0.918,0.025,0.025,0.1023,40
largeb,0.2,DW $D$ desc,CV,-0.8589,0.025,0.025,0.1023,40
largeb,0.2,DW $D$ desc,Vdelta,0.9436,1.0,1.0,0.733,40
largeb,0.2,DW $D$ desc,Vrel,0.8809,0.975,0.975,0.619,40
largeb,0.2,DW $D$ desc,CVrel,0.8995,0.95,0.975,0.4932,40
largeb,0.3,DW $D$ desc,V,-0.9303,0.025,0.025,0.1023,40
largeb,0.3,DW $D$ desc,CV,-0.8843,0.025,0.025,0.1023,40
largeb,0.3,DW $D$ desc,Vdelta,0.9585,1.0,1.0,0.7366,40
largeb,0.3,DW $D$ desc,Vrel,0.9085,0.975,0.975,0.6047,40
largeb,0.3,DW $D$ desc,CVrel,0.9222,0.95,0.975,0.4981,40
largeb,0.4,DW $D$ desc,V,-0.9336,0.025,0.025,0.1136,40
largeb,0.4,DW $D$ desc,CV,-0.8947,0.025,0.025,0.125,40
largeb,0.4,DW $D$ desc,Vdelta,0.9651,1.0,1.0,0.7449,40
largeb,0.4,DW $D$ desc,Vrel,0.9235,1.0,1.0,0.5967,40
largeb,0.4,DW $D$ desc,CVrel,0.9359,1.0,1.0,0.5443,40
largeb,0.5,DW $D$ desc,V,-0.9363,0.025,0.025,0.125,40
largeb,0.5,DW $D$ desc,CV,-0.9003,0.025,0.025,0.1364,40
largeb,0.5,DW $D$ desc,Vdelta,0.9688,1.0,1.0,0.7482,40
largeb,0.5,DW $D$ desc,Vrel,0.9305,1.0,1.0,0.6187,40
largeb,0.5,DW $D$ desc,CVrel,0.9426,1.0,1.0,0.5541,40
largeb,0.6,DW $D$ desc,V,-0.9375,0.025,0.025,0.2386,40
largeb,0.6,DW $D$ desc,CV,-0.9023,0.025,0.025,0.2386,40
largeb,0.6,DW $D$ desc,Vdelta,0.9742,1.0,1.0,0.759,40
largeb,0.6,DW $D$ desc,Vrel,0.9391,1.0,1.0,0.6299,40
largeb,0.6,DW $D$ desc,CVrel,0.9495,1.0,1.0,0.5719,40
largeb,0.7,DW $D$ desc,V,-0.9383,0.025,0.025,0.2386,40
largeb,0.7,DW $D$ desc,CV,-0.9054,0.025,0.025,0.25,40
largeb,0.7,DW $D$ desc,Vdelta,0.9759,1.0,1.0,0.7669,40
largeb,0.7,DW $D$ desc,Vrel,0.9431,1.0,1.0,0.6674,40
largeb,0.7,DW $D$ desc,CVrel,0.9526,1.0,1.0,0.591,40
largeb,0.8,DW $D$ desc,V,-0.9404,0.025,0.025,0.25,40
largeb,0.8,DW $D$ desc,CV,-0.9091,0.025,0.025,0.2614,40
largeb,0.8,DW $D$ desc,Vdelta,0.9775,1.0,1.0,0.7606,40
largeb,0.8,DW $D$ desc,Vrel,0.945,1.0,1.0,0.6542,40
largeb,0.8,DW $D$ desc,CVrel,0.955,1.0,1.0,0.5874,40
largeb,0.9,DW $D$ desc,V,-0.9418,0.025,0.025,0.25,40
largeb,0.9,DW $D$ desc,CV,-0.9075,0.025,0.025,0.2614,40
largeb,0.9,DW $D$ desc,Vdelta,0.9788,1.0,1.0,0.7681,40
largeb,0.9,DW $D$ desc,Vrel,0.9471,1.0,1.0,0.6629,40
largeb,0.9,DW $D$ desc,CVrel,0.9565,0.975,1.0,0.5915,40
largeb,1.0,DW $D$ desc,V,-0.94,0.025,0.025,0.25,40
largeb,1.0,DW $D$ desc,CV,-0.8915,0.025,0.025,0.2727,40
largeb,1.0,DW $D$ desc,Vdelta,0.9803,1.0,1.0,0.7669,40
largeb,1.0,DW $D$ desc,Vrel,0.9462,1.0,1.0,0.6456,40
largeb,1.0,DW $D$ desc,CVrel,0.9567,0.925,0.95,0.5691,40
smallb,0.05,DW $D$ desc,V,0.134,0.4,0.375,0.1172,40
smallb,0.05,DW $D$ desc,CV,0.3033,0.675,0.525,0.1391,40
smallb,0.05,DW $D$ desc,Vdelta,0.4604,0.65,0.65,0.1702,40
smallb,0.05,DW $D$ desc,Vrel,0.4408,0.7,0.7,0.1242,40
smallb,0.05,DW $D$ desc,CVrel,0.4986,0.725,0.65,0.1087,40
smallb,0.1,DW $D$ desc,V,0.0256,0.4,0.4,0.108,40
smallb,0.1,DW $D$ desc,CV,0.2799,0.6,0.575,0.1272,40
smallb,0.1,DW $D$ desc,Vdelta,0.5807,0.7,0.75,0.1742,40
smallb,0.1,DW $D$ desc,Vrel,0.5464,0.85,0.85,0.1168,40
smallb,0.1,DW $D$ desc,CVrel,0.6049,0.85,0.8,0.1164,40
smallb,0.2,DW $D$ desc,V,-0.2173,0.25,0.3,0.2502,40
smallb,0.2,DW $D$ desc,CV,0.1017,0.5,0.525,0.2233,40
smallb,0.2,DW $D$ desc,Vdelta,0.7188,0.65,0.875,0.3341,40
smallb,0.2,DW $D$ desc,Vrel,0.6626,0.925,0.925,0.2067,40
smallb,0.2,DW $D$ desc,CVrel,0.7145,0.9,0.8,0.1547,40
smallb,0.3,DW $D$ desc,V,-0.4381,0.125,0.15,0.1238,40
smallb,0.3,DW $D$ desc,CV,-0.0778,0.325,0.325,0.1654,40
smallb,0.3,DW $D$ desc,Vdelta,0.7975,0.7,0.9,0.4568,40
smallb,0.3,DW $D$ desc,Vrel,0.7316,0.875,0.9,0.2435,40
smallb,0.3,DW $D$ desc,CVrel,0.7757,0.85,0.9,0.244,40
smallb,0.4,DW $D$ desc,V,-0.5744,0.05,0.075,0.1705,40
smallb,0.4,DW $D$ desc,CV,-0.2309,0.225,0.225,0.1542,40
smallb,0.4,DW $D$ desc,Vdelta,0.8472,0.8,0.9,0.4747,40
smallb,0.4,DW $D$ desc,Vrel,0.7806,0.9,0.825,0.2857,40
smallb,0.4,DW $D$ desc,CVrel,0.819,0.8,0.8,0.2526,40
smallb,0.5,DW $D$ desc,V,-0.6517,0.05,0.05,0.1197,40
smallb,0.5,DW $D$ desc,CV,-0.3381,0.15,0.15,0.145,40
smallb,0.5,DW $D$ desc,Vdelta,0.8785,0.85,0.975,0.4876,40
smallb,0.5,DW $D$ desc,Vrel,0.81,0.875,0.875,0.3579,40
smallb,0.5,DW $D$ desc,CVrel,0.8449,0.775,0.775,0.2941,40
smallb,0.6,DW $D$ desc,V,-0.7356,0.025,0.025,0.2614,40
smallb,0.6,DW $D$ desc,CV,-0.4399,0.1,0.1,0.1134,40
smallb,0.6,DW $D$ desc,Vdelta,0.9028,0.875,0.975,0.5257,40
smallb,0.6,DW $D$ desc,Vrel,0.838,0.85,0.875,0.4275,40
smallb,0.6,DW $D$ desc,CVrel,0.8679,0.775,0.7,0.3783,40
smallb,0.7,DW $D$ desc,V,-0.8026,0.025,0.025,0.25,40
smallb,0.7,DW $D$ desc,CV,-0.5548,0.05,0.05,0.1851,40
smallb,0.7,DW $D$ desc,Vdelta,0.9256,0.875,0.975,0.6109,40
smallb,0.7,DW $D$ desc,Vrel,0.8636,0.85,0.9,0.4423,40
smallb,0.7,DW $D$ desc,CVrel,0.8901,0.725,0.825,0.4193,40
smallb,0.8,DW $D$ desc,V,-0.8552,0.025,0.025,0.25,40
smallb,0.8,DW $D$ desc,CV,-0.6462,0.05,0.05,0.179,40
smallb,0.8,DW $D$ desc,Vdelta,0.944,0.95,0.975,0.6913,40
smallb,0.8,DW $D$ desc,Vrel,0.8856,0.85,0.9,0.4826,40
smallb,0.8,DW $D$ desc,CVrel,0.908,0.75,0.775,0.524,40
smallb,0.9,DW $D$ desc,V,-0.9044,0.025,0.025,0.2614,40
smallb,0.9,DW $D$ desc,CV,-0.7552,0.025,0.025,0.2727,40
smallb,0.9,DW $D$ desc,Vdelta,0.9612,0.975,1.0,0.7138,40
smallb,0.9,DW $D$ desc,Vrel,0.909,0.85,0.925,0.5336,40
smallb,0.9,DW $D$ desc,CVrel,0.9264,0.725,0.775,0.5338,40
smallb,1.0,DW $D$ desc,V,-0.94,0.025,0.025,0.25,40
smallb,1.0,DW $D$ desc,CV,-0.8915,0.025,0.025,0.2727,40
smallb,1.0,DW $D$ desc,Vdelta,0.9803,1.0,1.0,0.7669,40
smallb,1.0,DW $D$ desc,Vrel,0.9462,1.0,1.0,0.6456,40
smallb,1.0,DW $D$ desc,CVrel,0.9567,0.925,0.95,0.5691,40
dirb,0.05,DW $D$ desc,V,0.134,0.4,0.375,0.1172,40
dirb,0.05,DW $D$ desc,CV,0.3033,0.675,0.525,0.1391,40
dirb,0.05,DW $D$ desc,Vdelta,0.4604,0.65,0.65,0.1702,40
dirb,0.05,DW $D$ desc,Vrel,0.4408,0.7,0.7,0.1242,40
dirb,0.05,DW $D$ desc,CVrel,0.4986,0.725,0.65,0.1087,40
dirb,0.1,DW $D$ desc,V,0.0256,0.4,0.4,0.108,40
dirb,0.1,DW $D$ desc,CV,0.2799,0.6,0.575,0.1272,40
dirb,0.1,DW $D$ desc,Vdelta,0.5807,0.7,0.75,0.1742,40
dirb,0.1,DW $D$ desc,Vrel,0.5464,0.85,0.85,0.1168,40
dirb,0.1,DW $D$ desc,CVrel,0.6049,0.85,0.8,0.1164,40
dirb,0.2,DW $D$ desc,V,-0.2173,0.25,0.3,0.2502,40
dirb,0.2,DW $D$ desc,CV,0.1017,0.5,0.525,0.2233,40
dirb,0.2,DW $D$ desc,Vdelta,0.7188,0.65,0.875,0.3341,40
dirb,0.2,DW $D$ desc,Vrel,0.6626,0.925,0.925,0.2067,40
dirb,0.2,DW $D$ desc,CVrel,0.7145,0.9,0.8,0.1547,40
dirb,0.3,DW $D$ desc,V,-0.4381,0.125,0.15,0.1238,40
dirb,0.3,DW $D$ desc,CV,-0.0778,0.325,0.325,0.1654,40
dirb,0.3,DW $D$ desc,Vdelta,0.7975,0.7,0.9,0.4568,40
dirb,0.3,DW $D$ desc,Vrel,0.7316,0.875,0.9,0.2435,40
dirb,0.3,DW $D$ desc,CVrel,0.7757,0.85,0.9,0.244,40
dirb,0.4,DW $D$ desc,V,-0.5744,0.05,0.075,0.1705,40
dirb,0.4,DW $D$ desc,CV,-0.2309,0.225,0.225,0.1542,40
dirb,0.4,DW $D$ desc,Vdelta,0.8472,0.8,0.9,0.4747,40
dirb,0.4,DW $D$ desc,Vrel,0.7806,0.9,0.825,0.2857,40
dirb,0.4,DW $D$ desc,CVrel,0.819,0.8,0.8,0.2526,40
dirb,0.5,DW $D$ desc,V,-0.6517,0.05,0.05,0.1197,40
dirb,0.5,DW $D$ desc,CV,-0.3381,0.15,0.15,0.145,40
dirb,0.5,DW $D$ desc,Vdelta,0.8785,0.85,0.975,0.4876,40
dirb,0.5,DW $D$ desc,Vrel,0.81,0.875,0.875,0.3579,40
dirb,0.5,DW $D$ desc,CVrel,0.8449,0.775,0.775,0.2941,40
dirb,0.6,DW $D$ desc,V,-0.7356,0.025,0.025,0.2614,40
dirb,0.6,DW $D$ desc,CV,-0.4399,0.1,0.1,0.1134,40
dirb,0.6,DW $D$ desc,Vdelta,0.9028,0.875,0.975,0.5257,40
dirb,0.6,DW $D$ desc,Vrel,0.838,0.85,0.875,0.4275,40
dirb,0.6,DW $D$ desc,CVrel,0.8679,0.775,0.7,0.3783,40
dirb,0.7,DW $D$ desc,V,-0.8026,0.025,0.025,0.25,40
dirb,0.7,DW $D$ desc,CV,-0.5548,0.05,0.05,0.1851,40
dirb,0.7,DW $D$ desc,Vdelta,0.9256,0.875,0.975,0.6109,40
dirb,0.7,DW $D$ desc,Vrel,0.8636,0.85,0.9,0.4423,40
dirb,0.7,DW $D$ desc,CVrel,0.8901,0.725,0.825,0.4193,40
dirb,0.8,DW $D$ desc,V,-0.8552,0.025,0.025,0.25,40
dirb,0.8,DW $D$ desc,CV,-0.6462,0.05,0.05,0.179,40
dirb,0.8,DW $D$ desc,Vdelta,0.944,0.95,0.975,0.6913,40
dirb,0.8,DW $D$ desc,Vrel,0.8856,0.85,0.9,0.4826,40
dirb,0.8,DW $D$ desc,CVrel,0.908,0.75,0.775,0.524,40
dirb,0.9,DW $D$ desc,V,-0.9044,0.025,0.025,0.2614,40
dirb,0.9,DW $D$ desc,CV,-0.7552,0.025,0.025,0.2727,40
dirb,0.9,DW $D$ desc,Vdelta,0.9612,0.975,1.0,0.7138,40
dirb,0.9,DW $D$ desc,Vrel,0.909,0.85,0.925,0.5336,40
dirb,0.9,DW $D$ desc,CVrel,0.9264,0.725,0.775,0.5338,40
dirb,1.0,DW $D$ desc,V,-0.94,0.025,0.025,0.25,40
dirb,1.0,DW $D$ desc,CV,-0.8915,0.025,0.025,0.2727,40
dirb,1.0,DW $D$ desc,Vdelta,0.9803,1.0,1.0,0.7669,40
dirb,1.0,DW $D$ desc,Vrel,0.9462,1.0,1.0,0.6456,40
dirb,1.0,DW $D$ desc,CVrel,0.9567,0.925,0.95,0.5691,40
halfb,0.05,DW $D$ desc,V,-0.9264,0.025,0.025,0.0341,40
halfb,0.05,DW $D$ desc,CV,-0.8066,0.025,0.025,0.1818,40
halfb,0.05,DW $D$ desc,Vdelta,0.9423,0.925,1.0,0.7645,40
halfb,0.05,DW $D$ desc,Vrel,0.8118,0.375,0.925,0.6961,40
halfb,0.05,DW $D$ desc,CVrel,0.8384,0.175,0.575,0.4605,40
halfb,0.1,DW $D$ desc,V,-0.9338,0.025,0.025,0.1023,40
halfb,0.1,DW $D$ desc,CV,-0.8396,0.025,0.025,0.125,40
halfb,0.1,DW $D$ desc,Vdelta,0.9559,0.975,1.0,0.7766,40
halfb,0.1,DW $D$ desc,Vrel,0.8584,0.475,0.95,0.6811,40
halfb,0.1,DW $D$ desc,CVrel,0.8821,0.325,0.65,0.5551,40
halfb,0.2,DW $D$ desc,V,-0.9391,0.025,0.025,0.1477,40
halfb,0.2,DW $D$ desc,CV,-0.8617,0.025,0.025,0.1591,40
halfb,0.2,DW $D$ desc,Vdelta,0.9669,1.0,1.0,0.7863,40
halfb,0.2,DW $D$ desc,Vrel,0.8907,0.65,0.975,0.6694,40
halfb,0.2,DW $D$ desc,CVrel,0.912,0.5,0.825,0.5541,40
halfb,0.3,DW $D$ desc,V,-0.9416,0.025,0.025,0.1705,40
halfb,0.3,DW $D$ desc,CV,-0.8722,0.025,0.025,0.2045,40
halfb,0.3,DW $D$ desc,Vdelta,0.9711,1.0,1.0,0.7825,40
